title,price,city,date
Продам ноутбук Xiaomi Mi Notebook Pro 15.6,25 000 грн.,"Київ, Святошинський",Сьогодні 18:52
"Xiaomi Mi Notebook Pro 15,6"" (JYU4161CN) - 69450 руб Новый/Магазин",27 780 грн.,"Донецьк, Ворошиловський",Сьогодні 12:15
Продаю срочно ноутбук Xiaomi MI Notebook Pro 15.6 Intel Core i7 16/256,19 499 грн.,Чернівці,13  трав.
Куллер для xiaomi mi notebook pro 15.6,900 грн.,Мукачеве,Сьогодні 20:44
Продам ноутбук Xiaomi Mi Notebook Pro 15.6,25 000 грн.,"Київ, Святошинський",Сьогодні 18:52
Ноутбук Xiaomi Mi Notebook 13”,5 000 грн.,"Запоріжжя, Олександрiвський",Сьогодні 18:12
Чехол для ноутбука Xiaomi Mi Notebook Pro 15.6,650 грн.,"Київ, Оболонський",Сьогодні 17:13
Тачпад xiaomi mi notebook pro,1 700 грн.,Мукачеве,Сьогодні 15:09
"Xiaomi Mi Notebook Pro 15,6"" (JYU4161CN) - 69450 руб Новый/Магазин",27 780 грн.,"Донецьк, Ворошиловський",Сьогодні 12:15
Ноутбук Xiaomi MiNotebook Pro 15.6 I7 256 SSD,21 499 грн.,"Київ, Шевченківський",Вчора 17:23
"Продам НОВЫЙ Xiaomi Mi Notebook Pro 15"" (JYU4036CN) Grey 12 мес ОфГар!",19 199 грн.,"Харків, Шевченківський ",Вчора 11:35
Xiaomi Mi Notebook Pro 15.6,32 000 грн.,Нікополь,Вчора 02:12
Продаю срочно ноутбук Xiaomi MI Notebook Pro 15.6 Intel Core i7 16/256,19 499 грн.,Чернівці,13  трав.
Ноутбук Xiaomi Mi Notebook Lite 15.6 i3-8130U/4GB/SSD 128/ КРЕДИТ 0%!,9 849 грн.,"Київ, Солом'янський",13  трав.
Ноутбук Xiaomi Mi Notebook Pro 15.6 2019 Intel Core i7 16/256Gb,24 000 грн.,Ковель,12  трав.
Виниловые наклейки xiaomi mi notebook pro 15.6,450 грн.,"Київ, Солом'янський",10  трав.
Ноутбук Xiaomi Mi Notebook Pro i7 16/512 Gb MX250 на Гарантії,24 000 грн.,"Львів, Сихівський",10  трав.
Xiaomi mi notebook 13(i5/8гб/768гб),10 500 грн.,"Львів, Франківський",9  трав.
"Продам Xiaomi Mi Notebook Pro 15"" (JYU4036CN) Grey НОВЫЙ 12мес ОфГар",19 499 грн.,Інженерний,9  трав.
"Ноутбук 15,6"" IPS Core i5-8250H Nvidia Mx110 Xiaomi Mi Notebook Lite",12 500 грн.,"Харків, Червонозаводський",8  трав.
"Ноутбук Xiaomi Mi Notebook Air 12.5"" (Intel Core m3 7Y30 1000 MHz/12.5",11 258 грн.,"Київ, Деснянський",7  трав.
Xiaomi Mi Notebook Air 13.3 i5/8GB/SSD256GB+1TB/MX940,13 500 грн.,"Харків, Комінтернівський",6  трав.
"Ноутбук Mi Notebook Pro 15.6"" i5 8/256Gb (под восстановление) торг!",11 300 грн.,"Київ, Шевченківський",6  трав.
Xiaomi mi notebook 15.6 i7/16/256/1050 max-q,28 000 грн.,"Вінниця, Ленінський",6  трав.
Xiaomi mi notebook pro keyboard (поломанная),50 грн.,"Харків, Київський",5  трав.
Ноутбук Xiaomi Mi Notebook Lite 15.6 Intel Core i5 8/128Gb + 1TB HDD,13 000 грн.,Українка,4  трав.
Продам ноутбук Xiaomi MI NOTEBOOK AIR 12 M34GB 256 G,5 000 грн.,"Одеса, Київський",4  трав.
"Xiaomi Mi Notebook Air 13.3"" i7 8/256GB 2018 JYU4051CN (Gray)",14 900 грн.,"Дніпро, Амур-Нижньодніпровський ",3  трав.
Xiaomi Mi Notebook Lite 15.6,17 500 грн.,"Луганськ, Ленінський",2  трав.
Xiaomі mi notebook air 13.3 i7 256gb Nvidia,16 500 грн.,Стрий,2  трав.
"Xiaomi Mi Notebook Air 2019 intel i7, mx250, 250gb",18 000 грн.,Бровари,1  трав.
Xiaomi mi notebook pro 15.6 на запчасти,10 000 грн.,Мукачеве,1  трав.
Mi Notebook Air 13 i5 8GB MX150 2GB 256GB SSD M2,19 000 грн.,Івано-Франківськ,30  квіт.
Xiaomi Mi Notebook Air 13.3 2019 i5/8Gb/256Gb/MX250 JYU4122CN/4123CN,22 447 грн.,"Одеса, Київський",30  квіт.
"Xiaomi Mi Notebook Pro 15.6""",25 000 грн.,"Дніпро, Індустріальний",30  квіт.
Продам ноутбук xiaomi mi notebook air 13,22 000 грн.,Відродження,30  квіт.
Продам ноутбук Xiaomi Mi Notebook Air 13.3,20 509 грн.,"Одеса, Приморський",29  квіт.
Ноутбук Xiaomi Mi Notebook Pro 15.6 Intel Core i7 16/512 GB,23 499 грн.,"Київ, Шевченківський",26  квіт.
Продам Ноутбук Xiaomi Mi Notebook Pro 15.6 Intel Core i7 16/256 GB,21 500 грн.,Пісочин,25  квіт.
Ноутбуки Xiaomi RedmiBook 14/Notebook Air 2019/Pro/Mi Gaming Laptop 3,15 433 грн.,"Львів, Сихівський",25  квіт.
Xiaomi Mi Notebook Air 13.3 i5/8GB/256GB SSD/ Nvidia Geforce MX150,15 500 грн.,"Запоріжжя, Олександрiвський",23  квіт.
Ноутбук Xiaomi Mi Notebook Pro 15.6 GTX Intel Core i5 8/256Gb GTX 1050,24 000 грн.,"Київ, Дарницький",22  квіт.
